orderID,candidate_address,is_comp,subject_address,bath_score_diff,full_baths_diff,half_baths_diff,room_count_diff,bedrooms_diff,effective_age_diff,subject_age_diff,lot_size_sf_diff,gla_diff,abs_bath_score_diff,abs_full_bath_diff,abs_half_bath_diff,abs_room_count_diff,abs_bedrooms_diff,abs_effective_age_diff,abs_subject_age_diff,abs_lot_size_sf_diff,abs_gla_diff,distance_to_subject_km,same_property_type,sold_recently,score,rank,subject_bath_score,subject_num_full_baths,subject_num_half_baths,subject_bedrooms,subject_gla,subject_lot_size_sf,subject_property_type,candidate_bath_score,candidate_num_full_baths,candidate_num_half_baths,candidate_bedrooms,candidate_gla,candidate_lot_size_sf,candidate_property_type,candidate_close_price,explanation
4723364,2480 Hitchcock Rd,1.0,1050 John F. Scott Rd Kingston ON K7L4V3,0.5,0.0,,0.0,0.0,-20.0,45.0,169884.0,-96.0,0.5,0.0,,0.0,0.0,20.0,45.0,169884.0,96.0,9.98,1.0,1.0,1.7448604106903076,1.0,1.5,1,1,3.0,1254,609840.0,Detached,1.0,1,0,3,1350,439956.0,Detached,349000.0,"[Error getting GPT explanation: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
4723364,1721 Reginald Bart Drive ,0.0,1050 John F. Scott Rd Kingston ON K7L4V3,,,,0.0,0.0,,,,-496.0,,,,0.0,0.0,,,,496.0,,1.0,1.0,-0.0013230217155069113,2.0,1.5,1,1,3.0,1254,609840.0,Detached,0.0,0,0,3,1750,,Detached,,"[Error getting GPT explanation: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
4723364,1220 Cyprus Rd ,0.0,1050 John F. Scott Rd Kingston ON K7L4V3,-0.5,-1.0,,-1.0,1.0,,,609739.0,44.0,0.5,1.0,,1.0,1.0,,,609739.0,44.0,,1.0,1.0,-0.6183826327323914,3.0,1.5,1,1,3.0,1254,609840.0,Detached,2.0,2,0,2,1210,101.0,Detached,,"[Error getting GPT explanation: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
4742669,523 35A St NW,1.0,"504 37 St NW, Calgary, AB T2N 3B8, Canada",0.0,0.0,,-1.0,0.0,-47.0,1.0,-657.0,-172.0,0.0,0.0,,1.0,0.0,47.0,1.0,657.0,172.0,0.07,1.0,0.0,3.435323476791382,1.0,2.0,2,0,2.0,840,4639.0,Detached,2.0,2,0,2,1012,5296.0,Detached,802500.0,"[Error getting GPT explanation: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
4742669,2536 4 Ave NW,1.0,"504 37 St NW, Calgary, AB T2N 3B8, Canada",0.0,0.0,,0.0,0.0,-48.0,0.0,-754.0,0.0,0.0,0.0,,0.0,0.0,48.0,0.0,754.0,0.0,1.54,1.0,1.0,3.1075804233551025,2.0,2.0,2,0,2.0,840,4639.0,Detached,2.0,2,0,2,840,5393.0,Detached,810000.0,"[Error getting GPT explanation: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
4742669,2425 3 Ave NW,1.0,"504 37 St NW, Calgary, AB T2N 3B8, Canada",1.0,1.0,,-1.0,0.0,-55.0,-7.0,-775.0,-172.0,1.0,1.0,,1.0,0.0,55.0,7.0,775.0,172.0,1.77,1.0,1.0,2.3806886672973633,3.0,2.0,2,0,2.0,840,4639.0,Detached,1.0,1,0,2,1012,5414.0,Detached,670000.0,"[Error getting GPT explanation: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
4752865,3116 Winspear Cres SW,1.0,8915 20 Ave SW Edmonton AB T6X2C5,0.0,0.0,0.0,0.0,0.0,-5.0,-3.0,979.0,204.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,979.0,204.0,2.17,1.0,0.0,2.919170618057251,1.0,2.5,2,1,4.0,2974,6512.0,Detached,2.5,2,1,4,2770,5533.0,Detached,842500.0,"[Error getting GPT explanation: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
4752865,1253 Adamson Dr SW,1.0,8915 20 Ave SW Edmonton AB T6X2C5,0.0,0.0,0.0,0.0,0.0,-8.0,-6.0,-754.0,-390.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,754.0,390.0,3.27,1.0,1.0,2.772575855255127,2.0,2.5,2,1,4.0,2974,6512.0,Detached,2.5,2,1,4,3364,7266.0,Detached,1194500.0,"[Error getting GPT explanation: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
4752865,7706 20A Avenue SW ,0.0,8915 20 Ave SW Edmonton AB T6X2C5,0.0,0.0,0.0,2.0,1.0,-5.0,-3.0,,812.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,,812.0,,1.0,1.0,-0.6262457966804504,3.0,2.5,2,1,4.0,2974,6512.0,Detached,2.5,2,1,3,2162,,Detached,,"[Error getting GPT explanation: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
4755196,156 Aquarium Ave,1.0,531 Des Genévriers Rue Orléans ON K4A0Z2,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-629.0,-115.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,629.0,115.0,0.84,1.0,1.0,2.5754499435424805,1.0,3.5,3,1,4.0,2956,3601.0,Detached,3.5,3,1,4,3071,4230.0,Detached,1130000.0,"[Error getting GPT explanation: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
